RRID,Name,AKA,Species,Description,MAC Knockins/outs,MIC Knockins/outs,Gene of interest,Origin,Publications,Comments
TSC_SD00013,A* CAM (star),,T. thermophila,"(Cam-r, III)",,,,,,"Cam-r lines grow more slowly than wild type.<br /><br />For selection, make the drug up at 1 gram in 10 ml  95% ethanol, which makes a stock that is 250x, i.e. add 4ul drug/1 ml culture."
TSC_SD00014,A* V (star),,T. thermophila,(V),,,,,,A strain star line. Lacks a genetically functional micronucleus.
TSC_SD00015,A* III (star),,T. thermophila,(III),,,,,,A strain star line. Lacks a genetically functional micronucleus.
TSC_SD00016,A1868,,T. thermophila,(I),,,,,,
TSC_SD00022,B* VI (star),,T. thermophila,(VI),,,,,,B strain star line. Lacks a genetically functional micronucleus.
TSC_SD00023,B* VII (star),,T. thermophila,(VII),,,,,,B strain star line. Lacks a genetically functional micronucleus.
TSC_SD00024,C* III (star),,T. thermophila,(III),,,,,,C strain star line. Lacks a genetically functional micronucleus.
TSC_SD00025,C* CAM (star),C*CMP III (star),T. thermophila,"(cmp-r, III)",,,,,,"Cam-r lines grow more slowly than wild type.<br /><br />For selection, make the drug up at 1 gram in 10 ml  95% ethanol, which makes a stock that is 250x, i.e. add 4ul drug/1 ml culture."
TSC_SD00026,C3 368.1,,T. thermophila,"(wild type C3, V)",,,,"Third inbreeding of C3, done in 1968.",,"See Figure 1 on page 13 of Methods in Cell Biology Volume 62,  Tetrahymena thermophila 2000 (Editors D.J. Asai and J.D. Forney) for and excellent diagram explaining how the inbred strains are related to each other.<br /><br />Regenerated micronucleus from C3 368 by &quot;star&quot; mating. Non-star side maintained."
TSC_SD00027,C3 491 1a,,T. thermophila,"wild type C3 (wild type C3; wild type C3, I)",,,,"Fourth inbreeding of C3, done in 1991.  One of three independent MT I strains (1a, 1b, 1c).",,"See Figure 1 on page 13 of Methods in Cell Biology Volume 62,  Tetrahymena thermophila 2000 (Editors D.J. Asai and J.D. Forney) for and excellent diagram explaining how the inbred strains are related to each other.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD00028,C3 491 1b,,T. thermophila,"wild type C3 (wild type C3; wild type C3, I)",,,,"Fourth inbreeding of C3, done in 1991.  One of three independent MT I strains (1a, 1b, 1c).",,"See Figure 1 on page 13 of Methods in Cell Biology Volume 62,  Tetrahymena thermophila 2000 (Editors D.J. Asai and J.D. Forney) for and excellent diagram explaining how the inbred strains are related to each other.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD00029,C3 491 1c,,T. thermophila,"wild type C3 (wild type C3; wild type C3, I)",,,,"Fourth inbreeding of C3, done in 1991.  One of three independent MT I strains (1a, 1b, 1c).",,"See Figure 1 on page 13 of Methods in Cell Biology Volume 62,  Tetrahymena thermophila 2000 (Editors D.J. Asai and J.D. Forney) for and excellent diagram explaining how the inbred strains are related to each other.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD00030,C3 491 2a,,T. thermophila,"wild type C3 (wild type C3; wild type C3, II)",,,,"Fourth inbreeding of C3, done in 1991.  One of three independent MT II strains (2a, 2b, and 2c).",,"See Figure 1 on page 13 of Methods in Cell Biology Volume 62,  Tetrahymena thermophila 2000 (Editors D.J. Asai and J.D. Forney) for and excellent diagram explaining how the inbred strains are related to each other.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD00031,C3 491 2b,,T. thermophila,"wild type C3 (wild type C3; wild type C3, II)",,,,"Fourth inbreeding of C3, done in 1991.  One of three independent MT II strains (2a, 2b, and 2c).",,"See Figure 1 on page 13 of Methods in Cell Biology Volume 62,  Tetrahymena thermophila 2000 (Editors D.J. Asai and J.D. Forney) for and excellent diagram explaining how the inbred strains are related to each other.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD00032,C3 491 2c,,T. thermophila,"wild type C3 (wild type C3; wild type C3, II)",,,,"Fourth inbreeding of C3, done in 1991.  One of three independent MT II strains (2a, 2b, and 2c).",,"See Figure 1 on page 13 of Methods in Cell Biology Volume 62,  Tetrahymena thermophila 2000 (Editors D.J. Asai and J.D. Forney) for and excellent diagram explaining how the inbred strains are related to each other.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD00033,C3 491 6a,,T. thermophila,"wild type C3 (wild type C3; wild type C3, VI)",,,,"Fourth inbreeding of C3, done in 1991.  One of three independent MT VI strains (6a, 6b, and 6c).",,"See Figure 1 on page 13 of Methods in Cell Biology Volume 62,  Tetrahymena thermophila 2000 (Editors D.J. Asai and J.D. Forney) for and excellent diagram explaining how the inbred strains are related to each other.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD00034,C3 491 6b,,T. thermophila,"wild type C3 (wild type C3; wild type C3, VI)",,,,"Fourth inbreeding of C3, done in 1991.  One of three independent MT VI strains (6a, 6b, and 6c).",,"See Figure 1 on page 13 of Methods in Cell Biology Volume 62,  Tetrahymena thermophila 2000 (Editors D.J. Asai and J.D. Forney) for and excellent diagram explaining how the inbred strains are related to each other.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD00035,C3 491 6c,,T. thermophila,"wild type C3 (wild type C3; wild type C3, VI)",,,,"Fourth inbreeding of C3, done in 1991.  One of three independent MT VI strains (6a, 6b, and 6c).",,"See Figure 1 on page 13 of Methods in Cell Biology Volume 62,  Tetrahymena thermophila 2000 (Editors D.J. Asai and J.D. Forney) for and excellent diagram explaining how the inbred strains are related to each other.<br /><br />Submitted by Eileen Hamilton, University of California, Santa Barbara"
TSC_SD00036,CU2005,CU776,T. thermophila,"chx1-1/chx1-1; Nulli 2 (CHX1; cy-s, VI)",,,,,,
TSC_SD00042,CU295,,T. thermophila,"chx1-1/chx1-1; chx2-1/chx2-1; mpr1-1/mpr1-1 (CHX1; CHX2; mpr1-1; cy-s, mp-r, tr, II)",,,,,"Ares M,Jr and Bruns PJ. 1978. Isolation and genetic characterization of a mutation affecting ribosomal resistance to cycloheximide in tetrahymena. Genetics 90(3):463-74.",
TSC_SD00043,CU296,,T. thermophila,"chx1-1/chx1-1; chx2-1/chx2-1; MPR1/MPR1 (CHX1; CHX2; MPR1; cy-s, mp-s, ts, III)",,,,,"Ares M,Jr and Bruns PJ. 1978. Isolation and genetic characterization of a mutation affecting ribosomal resistance to cycloheximide in tetrahymena. Genetics 90(3):463-74.",
TSC_SD00045,CU298,,T. thermophila,"chx1-1/chx1-1; chx2-1/chx2-1; mpr1-1/mpr1-1 (CHX1; CHX2; mpr1-1; cy-s, mp-r, II)",,,,,"Ares M,Jr and Bruns PJ. 1978. Isolation and genetic characterization of a mutation affecting ribosomal resistance to cycloheximide in tetrahymena. Genetics 90(3):463-74.",
TSC_SD00046,CU299,,T. thermophila,"chx1-1/chx1-1; chx2-1/chx2-1; mpr1-1/mpr1-1 (CHX1; CHX2; MPR1; cy-s, mp-s, III)",,,,,"Ares M,Jr and Bruns PJ. 1978. Isolation and genetic characterization of a mutation affecting ribosomal resistance to cycloheximide in tetrahymena. Genetics 90(3):463-74.",
TSC_SD00047,CU300,,T. thermophila,"chx1-1/chx1-1; chx2-1/chx2-1; MPR1/MPR1 (CHX1; CHX2; cy-s, mp-r, ts, II)",,,,,"Ares M,Jr and Bruns PJ. 1978. Isolation and genetic characterization of a mutation affecting ribosomal resistance to cycloheximide in tetrahymena. Genetics 90(3):463-74.",
TSC_SD00048,CU301,,T. thermophila,"chx1-1/chx1-1; chx2-1/chx2-1; MPR1/MPR1 (cy-s, gal-s, mp-r, tr, II)",,,,,"Ares M,Jr and Bruns PJ. 1978. Isolation and genetic characterization of a mutation affecting ribosomal resistance to cycloheximide in tetrahymena. Genetics 90(3):463-74.",
TSC_SD00049,CU302,,T. thermophila,"chx1-1/chx1-1; chx2-1/chx2-1; MPR1/MPR1 (CHX1; CHX2; cy-s, mp-r, II)",,,,,"Ares M,Jr and Bruns PJ. 1978. Isolation and genetic characterization of a mutation affecting ribosomal resistance to cycloheximide in tetrahymena. Genetics 90(3):463-74.",
TSC_SD00050,CU303,,T. thermophila,"CHX1/CHX1; chx2-1/chx2-1; MPR1/MPR1 (CHX2; MPR1; cy-s, mp-s, tr, III)",,,,,"Ares M,Jr and Bruns PJ. 1978. Isolation and genetic characterization of a mutation affecting ribosomal resistance to cycloheximide in tetrahymena. Genetics 90(3):463-74.",
TSC_SD00051,CU304,,T. thermophila,"CHX1/CHX1; chx2-1/chx2-1; mpr1-1/mpr1-1 (CHX2; MPR1; cy-s, mp-s, tr, III)",,,,,"Ares M,Jr and Bruns PJ. 1978. Isolation and genetic characterization of a mutation affecting ribosomal resistance to cycloheximide in tetrahymena. Genetics 90(3):463-74.",
